Time (ms),Position Data for Clock Game(mm)
,x,y,z
3164.101,22.0864543915,98.5089035034,128.519943237,
3172.797,21.6699104309,99.8292160034,126.803291321,
3181.492,21.1969566345,101.466674805,124.890815735,
3190.188,20.6201305389,103.442703247,122.589881897,
3198.883,20.0273532867,105.655540466,120.039390564,
3207.579,19.4136428833,108.069625854,117.370239258,
3216.275,18.811340332,110.553382874,114.681495667,
3224.97,18.2167015076,113.121047974,111.96434021,
3233.666,17.6141967773,115.713394165,109.215507507,
3242.361,16.978509903,118.316215515,106.578796387,
3251.057,16.295085907,120.869773865,104.132827759,
3259.753,15.535525322,123.452011108,101.772468567,
3268.448,14.7228517532,126.030761719,99.5014648438,
3277.144,13.9314861298,128.724838257,97.3587493896,
3285.839,13.1575918198,131.374023438,95.3776168823,
3294.535,12.3665704727,134.077331543,93.5041809082,
3303.231,11.5411787033,136.832275391,91.8339309692,
3311.926,10.7119035721,139.564666748,90.3248062134,
3320.622,9.84870243073,142.297180176,88.9183807373,
3329.317,8.93910884857,145.043869019,87.7549819946,
3338.013,8.00879192352,147.830123901,86.7525177002,
3364.1,5.82963180542,154.244186401,84.3742218018,
3372.795,4.56188440323,157.439666748,83.5675125122,
3381.491,3.49463558197,160.249221802,82.8790283203,
3390.187,2.55812358856,162.782104492,82.2703933716,
3398.882,1.72885906696,165.130645752,81.6831054688,
3407.578,0.931046068668,167.539474487,81.1786499023,
3416.273,0.138754472136,169.835632324,80.7437973022,
3424.969,-0.660914063454,172.086257935,80.3447723389,
3433.665,-1.5008020401,174.356170654,80.0717010498,
3442.36,-2.383071661,176.582015991,79.7539901733,
3451.056,-3.30609321594,178.829406738,79.5992431641,
3459.751,-4.27913951874,180.885742188,79.4094161987,
3468.447,-5.2557091713,182.755767822,79.1785507202,
3477.143,-6.22875833511,184.399810791,78.8369140625,
3485.838,-7.16069984436,186.054016113,78.6722488403,
3494.534,-8.06756401062,187.651321411,78.3744125366,
3503.229,-8.9401216507,189.363708496,78.1800460815,
3511.925,-9.79571628571,191.065597534,78.0176544189,
3520.621,-10.6509428024,192.610473633,77.7280807495,
3529.316,-11.5100660324,194.219085693,77.5207138062,
3538.012,-12.3795175552,195.549407959,77.2388839722,
3546.707,-13.2932634354,196.906311035,76.9105529785,
3555.403,-14.2582082748,198.369659424,76.8384094238,
3564.099,-15.2550725937,199.609542847,76.6468505859,
3572.794,-16.3380012512,201.016189575,76.4666061401,
3581.49,-17.4585418701,202.22718811,76.3132553101,
3590.185,-18.6391639709,203.531433105,76.177734375,
3598.881,-19.8110599518,204.83215332,76.0542602539,
3607.577,-20.9282722473,205.867218018,75.9779281616,
3616.272,-22.0298862457,206.970626831,75.8792037964,
3624.968,-23.103105545,208.108047485,75.6536941528,
3633.663,-24.1509494781,209.336181641,75.5347976685,
3642.359,-25.1908721924,210.502120972,75.4832077026,
3651.055,-26.2291870117,211.865524292,75.4323348999,
3659.755,-27.294708252,213.306610107,75.389793396,
3668.456,-28.3950691223,214.678787231,75.4233856201,
3677.156,-29.5391082764,216.074935913,75.3211364746,
3685.857,-30.7282505035,217.424331665,75.5039749146,
3694.558,-31.996471405,218.781143188,75.7099914551,
3703.258,-33.2972373962,220.144729614,75.9076538086,
3711.959,-34.6199531555,221.467941284,76.1713790894,
3720.659,-36.0014419556,223.162231445,76.3684997559,
3729.36,-37.2661743164,224.536727905,76.6846466064,
3738.061,-38.5692405701,226.151077271,77.1062164307,
3746.761,-39.8908004761,227.810424805,77.2574539185,
3755.462,-41.2696685791,229.6693573,77.1648712158,
3764.162,-42.5137710571,231.246856689,77.7326812744,
3772.863,-43.8201599121,232.867858887,77.8366317749,
3781.564,-45.1264724731,234.56602478,78.4323959351,
3790.264,-46.5044136047,236.244338989,78.5051193237,
3798.965,-47.8734436035,237.932006836,79.0851898193,
3807.665,-49.2007713318,239.40222168,79.720123291,
3816.366,-50.6309356689,241.107147217,79.9644393921,
3825.067,-51.9400405884,242.466491699,80.5609893799,
3833.767,-53.2627792358,243.866134644,81.1402053833,
3842.468,-54.5453224182,245.368865967,81.9098815918,
3851.168,-55.8610343933,246.954269409,82.4711456299,
